"name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region"
"Balu shahi","Maida flour","vegetarian",45,25,"sweet","dessert","West Bengal","East"
"Balu shahi","yogurt","vegetarian",45,25,"sweet","dessert","West Bengal","East"
"Balu shahi","oil","vegetarian",45,25,"sweet","dessert","West Bengal","East"
"Balu shahi","sugar","vegetarian",45,25,"sweet","dessert","West Bengal","East"
"Boondi","Gram flour","vegetarian",80,30,"sweet","dessert","Rajasthan","West"
"Boondi","ghee","vegetarian",80,30,"sweet","dessert","Rajasthan","West"
"Boondi","sugar","vegetarian",80,30,"sweet","dessert","Rajasthan","West"
"Gajar ka halwa","Carrots","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Gajar ka halwa","milk","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Gajar ka halwa","sugar","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Gajar ka halwa","ghee","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Gajar ka halwa","cashews","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Gajar ka halwa","raisins","vegetarian",15,60,"sweet","dessert","Punjab","North"
"Ghevar","Flour","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","ghee","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","kewra","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","milk","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","clarified butter","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","sugar","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","almonds","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","pistachio","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","saffron","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Ghevar","green cardamom","vegetarian",15,30,"sweet","dessert","Rajasthan","West"
"Gulab jamun","Milk powder","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","plain flour","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","baking powder","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","ghee","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","milk","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","sugar","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","water","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Gulab jamun","rose water","vegetarian",15,40,"sweet","dessert","West Bengal","East"
"Imarti","Sugar syrup","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Imarti","lentil flour","vegetarian",10,50,"sweet","dessert","West Bengal","East"
"Jalebi","Maida","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","corn flour","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","baking soda","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","vinegar","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","curd","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","water","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","turmeric","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","saffron","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Jalebi","cardamom","vegetarian",10,50,"sweet","dessert","Uttar Pradesh","North"
"Kaju katli","Cashews","vegetarian",10,20,"sweet","dessert","-1","-1"
"Kaju katli","ghee","vegetarian",10,20,"sweet","dessert","-1","-1"
"Kaju katli","cardamom","vegetarian",10,20,"sweet","dessert","-1","-1"
"Kaju katli","sugar","vegetarian",10,20,"sweet","dessert","-1","-1"
"Kalakand","Milk","vegetarian",20,30,"sweet","dessert","West Bengal","East"
"Kalakand","cottage cheese","vegetarian",20,30,"sweet","dessert","West Bengal","East"
"Kalakand","sugar","vegetarian",20,30,"sweet","dessert","West Bengal","East"
"Kheer","Milk","vegetarian",10,40,"sweet","dessert","-1","-1"
"Kheer","rice","vegetarian",10,40,"sweet","dessert","-1","-1"
"Kheer","sugar","vegetarian",10,40,"sweet","dessert","-1","-1"
"Kheer","dried fruits","vegetarian",10,40,"sweet","dessert","-1","-1"
"Laddu","Gram flour","vegetarian",10,40,"sweet","dessert","-1","-1"
"Laddu","ghee","vegetarian",10,40,"sweet","dessert","-1","-1"
"Laddu","sugar","vegetarian",10,40,"sweet","dessert","-1","-1"
"Lassi","Yogurt","vegetarian",5,5,"sweet","dessert","Punjab","North"
"Lassi","milk","vegetarian",5,5,"sweet","dessert","Punjab","North"
"Lassi","nuts","vegetarian",5,5,"sweet","dessert","Punjab","North"
"Lassi","sugar","vegetarian",5,5,"sweet","dessert","Punjab","North"
"Nankhatai","Refined flour","vegetarian",20,30,"sweet","dessert","-1","-1"
"Nankhatai","besan","vegetarian",20,30,"sweet","dessert","-1","-1"
"Nankhatai","ghee","vegetarian",20,30,"sweet","dessert","-1","-1"
"Nankhatai","powdered sugar","vegetarian",20,30,"sweet","dessert","-1","-1"
"Nankhatai","yoghurt","vegetarian",20,30,"sweet","dessert","-1","-1"
"Nankhatai","green cardamom","vegetarian",20,30,"sweet","dessert","-1","-1"
"Petha","Firm white pumpkin","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North"
"Petha","sugar","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North"
"Petha","kitchen lime","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North"
"Petha","alum powder","vegetarian",10,30,"sweet","dessert","Uttar Pradesh","North"
"Phirni","Rice","vegetarian",30,20,"sweet","dessert","Odisha","East"
"Phirni","sugar","vegetarian",30,20,"sweet","dessert","Odisha","East"
"Phirni","nuts","vegetarian",30,20,"sweet","dessert","Odisha","East"
"Rabri","Condensed milk","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North"
"Rabri","sugar","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North"
"Rabri","spices","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North"
"Rabri","nuts","vegetarian",10,45,"sweet","dessert","Uttar Pradesh","North"
"Sheera","Semolina","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Sheera","ghee","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Sheera","nuts","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Sheera","milk","vegetarian",10,25,"sweet","dessert","Maharashtra","West"
"Singori","Khoa","vegetarian",10,20,"sweet","dessert","Uttarakhand","North"
"Singori","coconut","vegetarian",10,20,"sweet","dessert","Uttarakhand","North"
